ticker,RS,close,volume,atr_10,distance,atr_14,atr_14_pct,avg_value_10
BNAI,99,42.06,196700,3.865,2.801,4.69,13.149,16.216
TERN,99,52.63,4977600,0.171,0.095,1.236,2.768,595.0
ERAS,99,17.01,3067100,0.994,0.436,1.035,6.926,79.199
KOD,99,43.11,738000,4.467,2.905,3.581,11.551,83.145
PRAX,99,316.14,254100,19.541,9.684,18.078,5.936,120.234
CELC,99,117.14,625700,6.054,4.964,6.269,5.564,83.83
TNGX,99,19.95,1731200,1.257,0.089,1.213,6.747,47.324
PL,99,34.67,9409600,3.416,2.11,3.258,10.835,545.49
AMPX,99,17.22,6465400,1.718,0.593,1.539,9.689,130.64
LASR,99,65.37,1897200,5.759,3.381,5.632,9.14,113.42
AGX,99,603.84,219800,48.188,33.921,35.279,7.314,358.995
NKTR,98,77.5,446200,4.96,3.658,4.563,6.547,61.771
DNTH,98,89.77,481100,4.624,4.44,4.698,6.197,92.255
PARR,98,62.77,1419200,4.29,1.391,3.82,6.612,90.357
PVLA,98,127.12,178000,10.313,7.033,9.512,8.079,38.528
CAPR,98,31.2,743600,2.023,0.084,2.02,6.843,31.955
SATS,97,128.59,9096600,8.007,4.559,7.511,6.451,928.137
FET,97,60.11,92400,2.929,0.7,2.823,4.884,10.812
SSL,97,12.75,2690000,0.816,0.096,0.683,5.853,42.537
SYRE,97,51.29,499300,2.875,2.22,2.654,5.902,39.181
TYRA,97,35.26,875300,2.459,1.552,2.358,6.551,35.949
NESR,97,23.0,1422700,1.336,1.043,1.267,5.811,46.923
CLMT,97,33.65,1152000,1.982,0.84,1.699,5.412,58.31
VAL,96,97.59,770400,4.676,0.944,4.667,4.973,88.645
FTI,96,73.79,3009100,2.478,2.289,2.358,3.478,255.072
STOK,96,34.33,358100,2.079,1.305,2.26,6.75,21.929
EFXT,96,21.42,1005600,0.874,0.521,0.849,4.093,19.419
SII,96,143.99,125900,6.764,3.061,7.068,4.946,26.657
FEIM,96,54.8,114200,4.519,3.696,4.286,8.724,12.831
GSAT,96,73.16,1367100,5.453,3.416,5.001,7.668,118.816
LINC,96,40.86,419600,1.599,0.781,1.78,4.663,17.162
BORR,96,5.9,6413900,0.309,0.016,0.312,5.599,39.622
FIGS,96,14.22,2137000,0.926,0.036,0.894,6.251,40.494
LUNR,96,23.57,15200900,2.405,2.119,2.289,11.747,419.204
BLTE,96,172.76,198900,9.621,7.069,9.037,5.431,29.321
LAR,95,7.37,1926400,0.606,0.225,0.561,8.061,34.847
SVM,95,11.5,3636500,0.639,0.513,0.712,6.559,40.756
VISN,95,18.97,5001400,0.643,0.388,0.691,3.798,86.635
ESLT,95,925.24,79000,35.181,27.891,36.384,4.167,127.905
PUMP,95,13.83,2132800,0.761,0.331,0.762,5.616,32.003
TEN,95,39.01,463500,1.518,0.537,1.57,4.247,17.901
TRVI,95,13.19,973500,0.941,0.783,0.863,7.287,16.486
APEI,95,58.39,162000,1.778,0.298,2.216,4.186,16.033
TROX,95,9.08,2885300,0.559,0.128,0.598,7.371,28.909
RIG,95,6.52,21201100,0.319,0.098,0.315,4.917,208.378
