ticker,RS,close,volume,atr_10,distance,money_flow_avg,trade_money_flow_avg,atr_14,atr_14_pct,avg_value_10
ABVX,99,128.29,1107457,5.071,1.152,608930.949,293274.939,5.882,4.807,110.233
PRAX,99,342.71,494696,20.338,15.541,1056775.761,1442897.336,19.586,6.301,147.358
PL,99,24.71,6857680,2.01,0.796,558214.776,1984443.61,2.072,8.884,213.19
NKTR,98,68.42,1755940,7.335,0.036,22577317.012,14042204.736,4.689,9.083,182.801
MU,98,418.01,32982061,23.656,10.402,183189853.696,114425896.851,24.146,6.189,13968.493
TER,98,329.09,2268729,15.213,9.961,3937740.492,2045483.27,15.085,5.402,941.508
FORM,97,100.58,1436766,4.684,4.545,820187.228,602031.608,5.175,6.27,111.118
IAG,97,22.94,6068593,1.383,0.829,266642.53,857356.066,1.343,6.623,206.02
CDE,97,24.78,15516941,1.587,1.309,4644626.198,5040506.051,1.704,7.66,548.859
HBM,97,27.8,5485813,1.614,1.384,770868.078,3293591.899,1.562,6.278,193.172
HUT,97,59.19,7015322,4.301,3.392,2412688.901,4377931.26,5.116,9.521,252.697
NGD,97,12.25,8603513,0.775,0.646,1420265.922,1392527.344,0.829,7.566,210.418
POWL,97,559.16,261074,30.062,9.627,508722.115,453863.654,31.137,6.264,138.827
FIX,97,1468.58,506970,79.633,79.38,12256626.897,6187751.872,70.155,5.607,781.119
LRCX,96,244.25,8852913,10.226,6.357,14717848.172,4492843.912,11.333,5.018,2169.502
MKSI,96,251.41,1349068,14.4,2.027,326196.722,4534968.135,13.112,5.562,479.114
STRL,96,459.72,550497,26.615,17.635,2748698.296,1341528.829,24.809,6.308,265.952
FTAI,96,303.93,1750204,15.173,14.556,4441748.727,3125980.306,14.744,5.472,380.147
ROIV,95,28.26,5569401,0.877,0.772,185716.073,780397.489,0.977,4.026,173.23
KGC,95,36.06,9662183,1.756,1.315,1970214.924,2435385.799,1.84,5.46,457.253
VAL,95,95.92,1255072,6.726,4.193,3448729.514,6293614.767,5.386,7.155,275.728
VRT,95,253.15,4836661,15.452,10.171,89157165.76,26144037.69,12.666,6.145,1878.306
AGX,95,447.6,421623,27.054,18.724,4243202.24,3972963.841,24.76,6.452,205.32
RIG,94,6.54,35602315,0.442,0.283,8302479.276,8416025.361,0.356,6.388,537.577
B,94,49.71,9781684,2.14,1.411,1917841.228,980115.194,2.255,4.721,795.031
IONS,94,85.45,2140750,2.428,1.695,195279.706,819543.361,2.488,3.027,159.907
NBIS,93,102.58,7398299,7.805,3.749,16581105.287,32243699.793,8.046,8.585,1500.057
IPGP,93,131.7,834815,14.17,2.072,7069509.912,6427043.209,9.067,7.652,127.589
MTSI,93,248.29,804303,8.863,5.935,1602207.181,1002407.492,10.482,4.685,264.21
IESC,93,513.4,183433,31.306,0.396,711464.709,101151.632,31.419,6.724,113.006
CAT,93,768.23,2568487,23.978,3.464,7937767.161,3078075.387,23.633,3.35,2453.449
FIVE,93,221.4,577359,8.304,7.748,1369814.904,1884184.841,7.707,3.797,190.627
MTZ,92,287.7,1201056,12.865,9.476,2691374.003,2045763.301,12.133,4.733,250.269
DY,92,428.58,225365,17.825,0.743,185930.476,57384.031,17.941,4.541,137.727
KLAC,91,1506.65,638241,51.409,30.463,5537379.15,6114909.208,62.777,4.319,1216.114
ENTG,91,136.27,2435854,7.255,4.827,8194637.533,2981985.684,6.251,5.161,405.761
TSM,91,385.75,13141300,15.863,15.299,44848766.67,5202249.255,13.619,3.886,4474.642
NE,91,46.15,1909390,2.228,1.494,1945453.595,2520145.211,1.895,4.765,148.126
ELAN,90,26.38,8563968,0.995,0.374,1021589.922,1865020.42,0.916,3.73,125.734
RGLD,90,288.04,885191,12.202,5.655,723931.166,964711.314,12.373,4.541,257.453
CGNX,90,57.88,2518644,3.445,3.129,19249319.916,2437632.508,2.389,5.236,218.496
VSEC,90,224.16,327157,10.815,8.169,1638793.463,1463172.986,10.096,4.869,125.8
CW,90,712.45,177293,28.888,22.712,1945959.223,131298.624,25.915,3.956,181.703
RRX,90,223.69,986636,9.116,4.7,626591.961,669250.553,8.639,4.493,223.091
