ticker,RS,close,volume,bullish_count,ma20,ma50,ma200,52wH,atr_14,atr_14_pct,avg_value_10
LASR,99,58.3,1256449,77,64.671,57.43,36.373,74.1,5.72,9.143,123.57
VICR,97,158.16,588930,77,172.491,171.125,96.253,209.53,16.171,9.455,183.654
COHR,97,247.8,6484002,77,250.471,239.174,155.036,300.2,22.121,8.895,2909.7
STRL,96,421.29,425958,47,415.35,408.192,333.676,477.03,27.828,6.706,205.247
NXT,95,120.38,1809976,51,116.644,115.007,86.924,131.72,7.037,6.045,238.182
LBRT,94,27.92,2683102,77,29.461,26.963,17.577,32.4,1.587,5.546,177.186
AMAT,94,353.8,5971052,77,347.394,345.404,248.03,395.95,17.332,4.989,2763.781
FN,93,534.98,545051,77,530.67,517.101,416.099,632.99,41.663,7.812,421.792
MRNA,92,50.03,7431678,60,52.537,49.1,33.423,59.55,3.276,6.472,337.301
BTSG,91,42.03,2611095,77,41.805,40.626,31.796,45.59,2.022,4.864,128.088
CW,91,696.99,406169,57,682.382,677.489,566.28,730.12,31.543,4.669,235.253
