ticker,RS,close,volume,bullish_count,ma20,ma50,ma200,52wH,atr_14,atr_14_pct,avg_value_10
HL,98,24.54,20040312,76,23.034,23.022,12.991,34.17,1.914,8.179,588.101
HUT,97,54.82,3948937,41,54.635,53.784,35.863,66.07,5.142,9.476,252.57
SBSW,97,17.0,4555060,76,16.701,16.376,10.957,21.29,1.032,6.153,107.016
ASTS,96,85.76,9227311,43,94.206,91.945,62.571,129.89,9.0,9.599,1020.35
TSEM,95,123.84,1980421,76,131.335,126.332,79.728,149.57,8.462,6.524,227.144
AMKR,94,48.52,4562618,76,48.82,47.333,31.843,57.09,3.293,6.724,280.27
UEC,93,15.38,8536831,34,16.201,15.442,11.578,20.34,1.261,7.755,123.758
IONS,92,80.6,3315280,76,83.322,81.231,61.282,86.74,2.727,3.307,185.176
SITM,92,397.86,308035,58,399.362,374.829,281.615,446.955,26.548,6.858,120.223
INTC,91,45.46,70988121,32,47.101,44.055,32.231,54.6,2.637,5.68,3433.48
NXT,90,106.86,2903406,27,117.998,103.986,80.074,131.585,7.598,6.667,197.346
KRYS,90,276.36,179712,76,273.927,266.113,189.688,298.303,12.197,4.488,103.533
