industry,sector,avg_rs,ticker_count
Electronics & Computer Distribution,Technology,89.2,8
Infrastructure Operations,Industrials,87.0,1
Silver,Basic Materials,82.2,6
Oil & Gas Refining & Marketing,Energy,77.3,19
Copper,Basic Materials,76.1,8
Diagnostics & Research,Healthcare,73.5,44
Banks - Diversified,Financial,73.4,20
Marine Shipping,Industrials,69.3,39
Oil & Gas Midstream,Energy,68.7,58
Healthcare Plans,Healthcare,68.5,11
Staffing & Employment Services,Industrials,67.4,17
Banks - Regional,Financial,67.0,324
Oil & Gas Integrated,Energy,66.8,20
Lumber & Wood Production,Basic Materials,64.0,6
Insurance - Property & Casualty,Financial,63.4,44
Semiconductors,Technology,62.8,69
Insurance - Reinsurance,Financial,62.6,8
Financial Conglomerates,Financial,61.3,6
Gold,Basic Materials,60.7,53
Medical Care Facilities,Healthcare,60.5,48
Utilities - Regulated Water,Utilities,60.4,12
REIT - Hotel & Motel,Real Estate,60.1,15
Oil & Gas E&P,Energy,59.6,78
Discount Stores,Consumer Defensive,59.6,9
Oil & Gas Drilling,Energy,59.5,10
Entertainment,Communication Services,59.3,47
Semiconductor Equipment & Materials,Technology,59.3,29
REIT - Industrial,Real Estate,58.8,15
"Furnishings, Fixtures & Appliances",Consumer Cyclical,57.4,28
Industrial Distribution,Industrials,57.4,24
Medical Instruments & Supplies,Healthcare,56.5,51
Financial Data & Stock Exchanges,Financial,56.4,14
REIT - Healthcare Facilities,Real Estate,56.2,17
Insurance - Life,Financial,56.2,18
Electronic Components,Technology,56.2,44
Insurance - Diversified,Financial,56.1,12
Publishing,Communication Services,56.0,8
Department Stores,Consumer Cyclical,56.0,4
Steel,Basic Materials,55.7,21
Health Information Services,Healthcare,55.7,41
Communication Equipment,Technology,55.2,45
Drug Manufacturers - General,Healthcare,54.7,21
Footwear & Accessories,Consumer Cyclical,54.5,13
Asset Management,Financial,54.5,146
Software - Infrastructure,Technology,54.1,178
Farm & Heavy Construction Machinery,Industrials,53.4,26
Computer Hardware,Technology,53.0,42
