ticker,RS,close,volume,distance,adr,avg_value_10
EDSA,99,16.3,291700,0.745,19.907,31.059
MANE,99,106.14,496300,1.377,10.524,125.741
BAND,99,49.89,871400,1.446,8.721,87.667
LWLG,99,16.43,10470400,0.027,15.487,162.249
AEHR,99,97.23,3829800,4.679,10.983,294.267
MWH,99,43.09,652500,0.033,5.385,38.072
LGN,99,99.89,1510000,1.135,5.095,153.002
SIMO,99,253.59,1004900,7.909,7.432,424.829
STX,99,782.64,4856600,16.58,5.269,4813.886
WDC,99,480.0,7885800,10.724,5.473,4515.624
INBX,98,134.35,387000,1.133,10.597,66.008
SYRE,98,75.045,840600,2.195,7.288,86.82
ICHR,98,74.42,1072800,2.637,7.43,96.04
NVTS,98,18.2,34598100,0.505,13.118,583.23
ANAB,98,69.33,490500,0.072,8.745,50.706
AIP,98,31.86,1131800,0.673,5.97,27.129
ABSI,98,5.9,7333300,0.228,10.877,37.956
VIAV,98,51.21,4817800,1.047,7.189,425.257
FCEL,98,13.7,9593000,0.251,12.893,129.29
VICR,98,256.47,683100,3.326,8.953,194.789
POWL,98,309.39,494700,7.531,5.965,269.414
CIEN,98,548.11,1500000,1.186,6.016,1158.688
SGML,98,21.71,4519000,0.512,8.848,63.022
PL,97,39.04,12885600,0.302,9.539,335.065
FORM,97,147.87,1864400,4.975,6.978,355.901
ORKA,97,64.59,942400,2.199,7.792,231.249
SATL,97,7.57,11147600,0.285,11.073,50.83
TNGX,97,23.02,1511400,0.124,7.63,70.807
TTMI,97,157.31,2113000,3.311,7.382,458.678
ASX,97,34.23,10051700,0.287,3.059,275.183
IBRX,97,8.51,16121900,0.285,7.331,103.365
ACLS,97,163.03,1033500,4.118,5.629,143.885
RVMD,97,141.81,2514300,3.783,5.364,461.155
MRVL,96,170.13,20556400,0.933,5.333,3670.298
AMKR,96,76.61,5313800,0.476,6.123,507.118
NOK,96,12.82,96711400,0.244,5.484,1648.061
GFS,96,74.12,6165100,1.467,5.274,411.77
TSEM,96,211.02,1594300,4.809,6.791,454.925
DIOD,96,111.41,1032600,2.373,4.72,81.133
CMPS,96,9.91,3526400,0.162,8.705,34.184
COHU,96,49.54,749500,0.824,5.285,84.698
ON,96,103.2,10761800,0.445,4.561,1500.161
AGX,96,680.26,251000,10.54,4.677,182.772
WULF,96,23.39,36233300,0.174,7.325,764.726
FIX,96,1952.37,265700,1.671,4.246,811.756
BLDP,96,4.13,12133000,0.064,9.482,34.539
NBIS,96,177.05,12867000,1.25,8.22,2861.51
IRDM,96,41.46,2571100,0.665,6.657,79.779
PRAX,96,330.02,339000,1.813,6.148,140.001
APLD,96,41.25,19642900,0.801,8.161,961.9
BHE,95,85.51,245300,0.643,4.478,57.021
PDFS,95,51.63,919000,1.243,6.639,30.536
YSS,95,34.79,1840100,0.801,12.417,58.433
AESI,95,18.71,2962400,0.018,6.099,114.177
ALM,95,19.68,4937600,0.442,8.738,83.671
KALV,95,26.73,2345200,0.019,3.605,298.437
COHR,95,335.26,7887000,3.028,6.607,2437.404
FPS,95,40.38,2816800,0.659,6.249,194.764
BELFB,95,297.98,155800,5.219,5.345,65.511
BKSY,95,39.45,3257300,0.509,11.916,78.17
VRT,94,339.97,4074900,1.379,4.469,1848.536
ECG,94,163.24,542800,0.334,5.009,134.823
NKTR,94,81.89,722400,1.7,5.797,69.705
DNTH,94,86.71,517000,1.619,4.837,45.25
USAR,94,26.96,16470400,0.198,9.606,531.861
ARM,94,213.27,11500700,0.227,6.543,2581.8
AXGN,94,42.06,565000,0.654,5.314,47.272
THR,94,65.66,647300,0.739,4.438,60.797
POWI,94,73.28,1563100,0.919,6.122,97.195
NVT,94,169.95,1703300,0.776,3.551,471.044
KALU,94,180.33,134500,2.217,4.507,51.03
TVTX,94,42.6,2266000,1.196,5.798,126.137
LBRT,94,33.11,3309500,0.348,4.941,139.623
ONTO,93,284.67,762500,6.811,4.821,286.031
PURR,93,6.71,6671200,0.106,7.231,47.288
CRML,93,12.53,10561500,0.355,12.203,274.073
Q,93,147.33,1957900,1.82,3.728,254.679
IESC,93,666.7,164400,7.769,6.359,182.676
MOD,93,273.0,764800,6.167,5.782,270.677
GPRE,93,18.19,2407700,0.092,5.45,30.087
RELY,93,24.03,12433800,0.154,4.171,121.134
LSCC,93,127.19,2790600,1.489,4.888,389.722
CABA,93,3.88,4661700,0.031,8.756,25.503
SIDU,93,3.41,22919500,0.149,15.532,44.257
PUMP,93,15.68,3766700,0.436,5.927,116.762
CNC,93,55.96,5295300,0.775,4.27,525.679
TER,92,359.77,3483300,2.447,5.054,1848.991
YOU,92,56.81,1787300,1.121,5.838,97.009
CIFR,92,20.55,24435800,0.036,9.139,563.09
KGS,92,69.65,1819200,0.344,3.14,101.627
MPWR,92,1600.84,686600,1.829,3.71,1160.705
SKYT,92,33.72,711300,0.049,4.091,36.658
ADEA,92,29.53,1317069,0.543,4.583,64.279
KEYS,92,360.3,1090600,3.043,2.63,425.68
SPHR,92,133.33,550200,2.117,4.519,104.812
ARWR,92,72.69,2699900,1.813,5.085,118.453
CECO,92,81.78,650900,1.165,5.576,95.153
GNRC,92,269.41,634400,3.551,3.681,295.521
MTRN,92,199.37,189300,4.131,4.53,62.6
