date,50ma上,50ma下,50ma上/50ma下,52wH,52wL,52wH/52wL,漲4%+,跌4%+,漲/跌
2026-08-06,2737,2487,1.1,200,98,2.04,517,587,0.88
2026-08-05,2813,2416,1.16,218,93,2.34,477,583,0.82
2026-08-04,2823,2406,1.17,236,75,3.15,1202,275,4.37
2026-08-03,2630,2597,1.01,195,100,1.95,1153,223,5.17
2026-07-31,2350,2873,0.82,91,160,0.57,382,539,0.71
2026-07-30,2433,2785,0.87,129,168,0.77,1207,460,2.62
2026-07-29,2348,2870,0.82,229,267,0.86,285,1148,0.25
2026-07-28,2598,2621,0.99,319,220,1.45,552,749,0.74
2026-07-27,2556,2660,0.96,189,194,0.97,772,445,1.73
2026-07-24,2430,2781,0.87,163,241,0.68,329,856,0.38
