ticker,RS,close,volume,distance,dr,adr5,adr10,adr20,avg_value_10
RVI,99,61.5,696598,5.289,11.798,16.643,20.502,14.075,104.917
PIII,99,13.86,2584905,1.923,53.189,63.911,39.189,24.11,84.599
MXL,99,99.67,2988557,4.49,8.999,13.169,13.819,14.281,479.45
AGL,99,80.57,287772,1.948,9.406,12.27,14.535,14.701,35.627
BAND,99,58.54,1061546,2.22,5.259,7.724,7.384,8.521,56.334
MRAM,99,32.45,3502334,1.168,11.13,15.209,20.455,17.256,358.042
RXT,99,4.33,24150614,0.576,20.924,21.877,29.021,23.201,272.475
MANE,99,104.7,276191,1.495,4.672,6.326,6.632,9.964,41.613
AMBQ,99,76.56,694449,3.226,8.299,9.992,12.092,9.301,84.1
DGXX,99,7.7,9126869,0.061,11.748,14.0,17.294,14.959,161.06
AAOI,99,176.81,9816439,1.187,11.316,11.4,15.947,14.034,2463.507
INTC,99,118.5,101773804,3.987,5.514,7.739,8.588,7.643,17888.987
BW,99,20.54,2325842,0.297,9.867,12.286,12.493,10.545,105.042
DOCN,99,158.35,3776109,6.088,6.136,7.658,7.432,7.983,545.752
VPG,99,104.04,470003,1.872,8.234,10.362,10.218,7.951,78.145
SIMO,99,263.51,623106,5.538,4.992,8.553,7.486,8.748,284.797
MU,99,762.1,42072334,33.271,4.462,7.831,7.627,6.803,42548.187
NVTS,99,24.38,37443667,2.402,13.004,13.75,15.965,14.72,841.011
SATL,98,9.64,7758931,0.149,7.989,12.569,13.399,11.582,96.873
HIMX,98,19.89,4551689,0.511,7.399,8.464,10.408,9.465,145.907
INOD,98,98.53,1768904,2.083,7.212,9.656,16.147,11.19,459.926
AIP,98,35.9,966649,1.059,4.518,6.878,8.638,7.784,50.997
TSEM,98,279.01,1550053,9.409,7.707,8.704,8.438,7.565,711.707
BRUN,98,25.52,1455956,0.709,14.979,18.658,20.437,15.333,49.766
WDC,98,486.46,4690827,9.024,6.193,6.196,6.231,6.173,3325.419
POET,98,14.82,50492632,0.093,10.766,18.677,18.781,19.69,1179.425
NBIS,98,219.93,22896811,12.657,8.625,9.867,9.774,9.758,4173.75
AMD,98,449.59,26637269,12.848,4.518,5.905,6.06,5.93,15897.088
CIEN,98,587.23,1545093,25.075,6.175,6.706,6.347,6.189,1046.108
LQDA,98,61.97,1183407,1.879,3.903,5.051,9.244,6.872,135.596
VGNT,98,40.87,1636840,1.342,3.652,5.463,5.117,5.811,53.075
UMC,98,18.35,10466989,0.708,2.443,3.717,4.604,4.448,264.974
FLEX,98,131.07,4822980,0.365,4.33,5.498,5.258,5.252,970.884
TTMI,98,174.55,1737938,7.261,6.694,8.039,7.264,8.055,355.997
PL,97,42.48,7419123,0.388,6.287,8.68,9.57,9.56,394.961
LUNR,97,34.24,10698043,0.04,11.643,12.973,14.054,11.705,490.513
SYRE,97,74.32,730461,1.641,4.994,7.2,6.275,6.203,83.762
STM,97,65.66,7074113,2.322,3.384,4.362,4.46,4.178,703.655
RKLB,97,125.45,30600530,1.894,5.695,8.85,11.314,9.346,4351.568
NOK,97,14.18,60298116,0.175,4.405,5.482,6.567,6.408,1468.841
VIAV,97,48.98,5647797,0.971,5.116,6.846,6.941,7.665,309.427
XMTR,97,86.89,697869,0.245,6.277,6.336,6.472,6.748,86.868
NAVN,97,18.55,3064574,0.056,2.964,4.494,5.668,6.073,64.462
MRVL,97,190.69,21299100,11.241,3.39,7.346,7.174,6.543,4511.62
SITM,97,711.79,649779,10.847,4.395,6.473,7.345,6.659,559.03
VICR,97,268.29,462482,5.778,5.361,8.397,9.591,8.698,289.075
KOPN,97,4.85,4548972,0.041,7.633,10.669,14.331,14.511,69.185
STRL,97,733.77,488905,23.415,4.145,6.698,5.868,6.456,506.955
SMTC,97,146.53,2829979,7.387,5.274,8.365,7.33,6.973,394.017
SIDU,97,4.13,21126080,0.115,12.004,16.515,15.959,13.865,89.587
MTSI,97,380.45,922845,7.882,2.739,5.887,5.742,5.566,602.191
CEVA,97,38.44,571617,0.952,4.882,5.548,7.492,8.171,37.128
ANAB,96,60.41,396310,0.297,3.373,5.765,6.835,8.388,34.156
BKSY,96,44.65,1069343,1.437,6.782,10.805,12.794,12.24,120.478
COHR,96,378.0,3954083,5.628,6.885,7.377,8.255,7.64,2349.061
CELC,96,142.53,641160,3.402,5.479,7.74,6.815,7.182,141.771
SYNA,96,132.33,600757,3.647,5.158,7.509,9.176,7.367,142.958
RVMD,96,153.73,1784584,4.608,2.991,4.126,3.621,4.236,297.525
POWL,96,270.75,515110,1.488,5.003,6.768,6.351,6.771,193.427
ICHR,96,65.32,584043,1.663,3.875,7.043,6.312,7.745,67.221
COCO,96,78.83,830717,0.227,3.052,3.329,3.894,5.178,99.609
IRDM,96,45.7,1992454,1.909,6.178,6.552,6.228,5.969,93.239
KLIC,96,101.09,835647,0.705,4.8,5.048,5.063,5.132,99.381
VECO,96,57.74,919133,0.765,5.544,6.089,5.764,6.073,81.381
UCTT,96,80.58,529842,0.369,3.494,8.156,7.118,7.878,75.489
MYRG,96,438.96,245227,5.574,3.971,4.829,4.467,5.241,110.242
