ticker,RS,close,volume,distance,dr,adr5,adr10,adr20,avg_value_10
XHLD,99.0,10.51,3798900,1.138,30.559,9.439,12.375,17.404,30.783
CYPH,99.0,2.45,33311600,0.408,33.264,23.749,19.425,19.396,29.758
MRNA,99.0,135.61,8621500,5.877,6.213,6.608,7.175,10.961,2628.705
IOND,99.0,76.26,548400,2.498,11.224,8.052,6.585,6.214,38.238
SKHY,99.0,198.63,30122600,17.375,6.58,5.276,4.24,4.65,2767.196
PURR,99.0,12.03,22807000,0.171,7.239,9.099,11.013,10.983,348.03
LIFE,99.0,39.72,2261200,1.06,8.481,7.117,6.704,7.269,48.8
SUNE,99.0,4.51,120607800,1.331,66.212,20.231,14.243,10.69,58.988
TXG,99.0,67.29,2764600,2.055,6.488,6.183,5.771,5.928,151.38
SLS,99.0,13.95,5475000,0.071,4.522,6.663,7.294,8.696,94.58
IOVA,99.0,8.43,11931300,0.155,4.928,4.103,4.722,6.962,84.837
ASST,99.0,26.69,7978500,0.747,8.479,8.656,9.113,9.025,280.501
PLSE,99.0,52.97,1560400,0.954,21.629,9.025,7.522,7.058,36.779
ETON,99.0,58.83,373700,0.391,3.017,5.059,4.536,5.785,31.295
SNDK,99.0,1764.17,9542000,96.36,4.583,5.69,6.031,6.946,18584.579
AMLX,99.0,32.4,1287500,0.749,6.347,4.568,5.219,6.736,61.046
DELL,99.0,535.25,7271500,23.171,5.748,8.247,6.717,6.062,5819.603
CDNA,98.0,50.03,1216500,0.197,3.405,4.301,4.954,4.758,58.135
GPRO,98.0,1.415,37161000,0.102,9.489,30.491,26.205,16.758,221.919
ABCL,98.0,11.05,2408200,0.2,3.996,4.652,5.074,6.932,44.485
TWST,98.0,125.52,1835000,1.259,6.913,7.195,6.365,6.665,195.951
OMER,98.0,19.39,1523100,0.204,3.275,3.553,4.381,4.995,25.752
AVAH,98.0,14.02,3135800,0.225,4.269,4.058,3.938,5.501,39.643
CLYM,98.0,15.05,1633100,0.173,8.115,9.1,9.506,8.961,28.333
HTFL,98.0,46.67,1420300,1.798,6.066,5.059,4.831,6.24,86.661
MU,98.0,1027.77,23726900,29.048,5.05,4.443,4.37,4.523,24394.447
MMED,98.0,22.76,1587700,0.534,3.554,4.393,5.189,5.165,57.214
REPL,98.0,14.45,1074800,0.603,3.217,4.29,4.371,5.847,25.841
CLMT,98.0,55.69,1256600,1.353,4.14,4.001,4.581,4.544,63.095
XNCR,98.0,24.94,1178300,0.757,5.352,6.55,6.377,6.167,39.683
RNG,98.0,69.64,1044900,2.439,3.45,4.683,4.116,4.394,101.073
IRD,98.0,5.73,53900800,1.279,33.145,15.875,11.404,9.11,38.577
PSNL,98.0,16.4,2782900,0.217,2.717,3.704,4.012,4.708,49.095
ECO,98.0,71.67,383400,1.124,2.728,3.02,2.979,2.944,34.236
TEAM,97.0,177.74,3517600,7.159,4.179,4.373,5.249,5.096,762.822
ANF,97.0,152.08,1470500,5.873,3.267,4.227,5.895,5.187,535.045
PBF,97.0,76.51,2001100,0.941,3.435,3.807,5.192,5.409,190.969
CORT,97.0,115.7,572000,2.751,3.279,4.723,4.308,3.787,92.306
HPE,97.0,58.9,30020200,3.483,4.191,8.843,6.381,5.682,1664.945
AYA,97.0,29.89,834900,0.646,3.683,4.198,5.843,5.541,34.124
DINO,97.0,108.14,1724000,1.026,2.615,3.119,3.755,3.651,245.157
UMC,97.0,22.69,11197600,1.418,3.511,3.147,3.335,3.116,224.779
OKTA,97.0,172.74,3420100,2.596,3.411,4.009,5.689,5.215,862.841
CMPS,97.0,15.17,7718700,1.23,12.954,6.857,5.51,5.443,35.949
DK,97.0,75.28,1911400,1.695,4.366,4.308,5.79,5.973,139.877
NUAI,97.0,6.48,7274000,0.83,8.106,10.72,9.032,10.072,34.306
ATRC,97.0,53.03,1659500,0.237,3.348,4.97,4.32,4.079,51.237
MPC,97.0,399.44,1973400,6.163,2.15,2.732,2.863,2.825,883.339
TRAX,97.0,39.57,478600,1.367,8.853,8.137,6.76,6.902,26.277
VLO,97.0,388.95,3207000,10.047,2.526,2.84,2.952,2.884,967.038
CVI,97.0,47.73,1162700,1.87,6.475,4.509,5.396,5.147,48.1
RVMD,97.0,207.68,1227000,0.644,4.177,3.033,4.336,3.845,421.97
BNC,97.0,4.43,5960700,0.836,20.847,15.444,11.801,9.398,40.41
LITE,97.0,988.98,4528200,84.606,4.974,6.936,6.409,7.566,3759.497
CHYM,97.0,34.55,14318500,1.004,6.056,4.752,4.065,3.975,210.389
TVTX,96.0,66.22,1235800,0.412,4.025,3.632,3.257,3.26,77.963
MAN,96.0,56.72,1242100,3.025,5.202,4.941,4.04,3.871,45.215
LPG,96.0,53.63,605200,0.011,4.018,3.621,3.567,3.55,29.281
MRVI,96.0,6.95,2206700,0.23,3.393,3.633,4.848,6.011,27.042
NBIS,96.0,240.35,11340600,18.539,4.193,6.782,5.573,7.332,2994.242
SIMO,96.0,277.7,706100,19.419,3.306,6.207,6.534,6.23,185.474
APPS,96.0,11.06,2110700,0.467,5.834,6.563,6.346,6.183,29.629
AXTI,96.0,68.91,8554500,7.691,8.448,10.06,8.933,10.389,506.193
MRX,96.0,75.72,803100,0.223,5.081,5.216,4.485,5.063,64.451
SMTC,96.0,163.94,3444900,16.36,4.09,7.158,7.967,7.591,520.389
MRVL,96.0,235.01,20435500,13.641,8.175,5.341,5.139,5.542,5565.695
QURE,96.0,46.0,1354800,0.663,3.549,6.207,4.488,4.544,58.547
STX,96.0,885.92,3517800,46.887,3.614,5.843,5.081,5.59,2760.912
LFST,96.0,12.62,12517400,0.166,3.595,3.251,3.322,3.566,55.401
NEO,96.0,17.66,1541600,0.111,4.956,4.816,5.439,4.513,34.177
FRO,96.0,47.21,2016600,0.922,2.826,3.01,3.191,3.115,116.91
BE,96.0,269.28,12113300,22.34,4.43,7.996,7.127,7.364,3268.252
PSX,95.0,260.78,2181300,3.638,2.222,2.627,2.792,2.752,665.208
ROIV,95.0,41.81,11147100,4.36,2.906,4.871,4.258,3.637,440.783
INSW,95.0,104.62,644300,1.158,2.592,2.984,3.577,3.167,64.76
HAE,95.0,103.16,612200,0.635,2.595,2.375,2.282,2.642,62.551
AEHR,95.0,95.56,4306100,9.776,13.39,8.979,8.179,9.652,264.291
TRMD,95.0,35.46,1550200,2.602,3.033,2.84,3.26,2.673,35.825
AMD,95.0,521.1,22104300,34.557,4.035,4.087,3.431,3.557,8261.409
SSL,95.0,14.58,4952900,1.451,4.533,3.251,3.035,2.677,25.392
ELVN,95.0,57.45,1293900,0.727,4.66,3.419,3.517,3.434,54.763
HNGE,95.0,91.31,1512500,0.416,5.266,4.329,4.997,4.811,173.484
CMBT,95.0,19.35,1009300,0.198,2.282,2.504,2.886,2.55,25.305
TH,95.0,19.2,11006800,0.11,4.355,5.026,6.261,5.677,45.893
URGN,95.0,45.0,1019500,0.836,7.517,5.384,4.663,4.421,30.943
NAT,95.0,7.27,4098100,0.071,3.38,3.477,4.269,3.607,32.386
ZETA,95.0,30.42,5370300,0.533,3.211,4.644,4.841,4.638,261.104
CHPT,95.0,8.95,2263300,0.644,9.41,15.237,9.811,7.559,62.386
NESR,95.0,34.7,1360500,0.209,3.655,3.614,3.701,4.327,52.079
ASX,95.0,41.2,5251600,2.288,3.167,3.113,3.074,3.257,225.171
DHT,95.0,21.2,2746100,0.43,2.9,3.171,3.224,3.257,63.566
NSIT,95.0,156.05,186700,0.519,1.996,3.388,2.839,3.088,35.824
NUTX,94.0,197.68,184200,0.359,8.696,5.76,5.418,5.285,31.372
OSCR,94.0,31.76,5204000,0.118,9.067,5.708,5.617,5.774,141.299
KNSA,94.0,78.52,588300,0.086,3.737,3.576,3.205,3.01,38.905
TNK,94.0,96.31,603500,2.349,5.054,3.663,3.997,3.675,55.61
SNOW,94.0,331.48,4320500,0.729,2.595,4.901,4.136,3.973,2345.721
GTLB,94.0,46.33,4377100,1.755,2.879,6.059,5.183,4.896,380.636
PARR,94.0,83.13,624200,1.143,4.599,5.135,5.467,5.798,66.205
AUGO,94.0,85.32,655500,0.36,6.789,4.046,4.777,4.65,78.29
ALM,94.0,18.33,4435500,0.457,5.33,7.201,6.611,7.008,110.25
AMR,94.0,226.94,269500,3.261,3.315,5.572,5.329,5.643,73.931
TBBB,94.0,51.66,767600,0.85,3.535,2.788,3.081,3.731,28.737
INTC,94.0,106.24,96611700,7.564,3.885,4.535,4.361,4.439,8321.318
NRIX,94.0,26.26,1027400,0.354,3.03,4.614,4.046,3.725,31.919
CAKE,94.0,103.61,1488200,2.28,3.33,2.559,3.016,3.638,150.329
AVTR,94.0,14.88,7845600,0.07,2.955,3.818,3.018,3.029,110.391
SM,94.0,37.98,3264100,0.688,1.896,2.731,3.222,3.305,135.154
PTEN,93.0,12.93,7757900,0.195,3.14,4.046,4.614,4.144,112.213
CGAU,93.0,23.3,1113800,0.455,3.576,2.862,3.38,3.512,32.297
HALO,93.0,107.39,1746300,1.662,2.035,2.79,2.477,2.586,161.786
NTRA,93.0,330.31,707200,0.7,3.328,3.21,3.029,3.212,315.767
PD,93.0,13.58,1560400,0.221,2.801,3.388,4.486,4.297,26.717
WT,93.0,23.9,2778700,0.194,3.389,5.368,4.72,3.725,69.328
HPQ,93.0,32.39,15436100,0.385,5.646,4.415,5.466,4.718,576.16
DNTH,93.0,107.04,1033900,0.071,4.049,4.844,4.199,4.361,60.101
CXW,93.0,34.37,2182200,0.387,4.655,4.468,3.941,4.142,57.168
DOCN,93.0,132.67,4170900,13.867,7.906,8.133,6.75,6.81,275.334
SSRM,93.0,37.6,1783000,0.093,3.743,2.902,3.601,3.746,87.104
PAYC,93.0,215.58,832200,12.246,2.944,3.36,3.237,3.377,162.577
COHU,93.0,56.68,1494200,4.97,8.9,6.731,6.066,6.323,47.412
INBX,93.0,112.86,677800,1.31,14.737,11.177,8.889,9.274,52.35
ERO,93.0,38.25,1235200,1.989,3.625,5.04,4.901,4.872,54.653
CNH,93.0,13.9,22637800,0.098,3.109,5.778,4.959,4.635,421.062
ESTC,93.0,86.58,2585800,3.357,3.302,4.124,5.218,5.023,363.947
EGO,93.0,44.58,1853500,1.186,3.228,3.326,3.686,3.726,125.448
SLDE,92.0,24.71,1426600,0.018,2.674,3.168,2.641,3.0,30.951
ADPT,92.0,24.42,1106800,0.124,3.307,4.015,4.003,4.18,40.82
GH,92.0,162.78,1115700,1.713,5.027,5.55,5.206,4.702,296.45
CIB,92.0,100.04,512300,0.656,4.739,3.36,3.341,3.149,43.203
AAMI,92.0,92.5,316300,0.217,3.038,3.152,3.219,2.695,39.995
CVE,92.0,33.46,5992200,0.584,2.018,2.006,2.664,2.62,176.881
UMAC,92.0,24.32,2241000,0.493,8.13,7.549,7.715,9.346,71.068
GKOS,92.0,179.79,587900,0.111,2.694,3.659,3.247,3.399,111.25
NET,92.0,314.18,4776600,21.16,8.549,5.47,5.602,5.284,924.493
MGNI,92.0,23.58,1609700,0.643,4.121,5.594,4.495,3.785,55.953
APA,92.0,44.84,4919200,0.645,1.492,2.415,2.903,2.937,183.699
CRWD,92.0,207.8,5862000,0.672,2.787,4.364,6.176,5.346,2802.286
CRGY,92.0,14.24,6221500,0.207,2.117,2.778,2.968,3.027,73.604
ILMN,92.0,205.0,1707400,6.911,4.214,4.038,3.806,4.203,382.815
SUNC,92.0,82.38,844500,2.208,1.836,2.547,2.474,2.503,39.504
BULL,92.0,9.42,9729800,0.006,4.691,5.629,5.397,6.191,154.392
GEO,92.0,31.61,1780200,0.258,4.393,4.134,3.691,3.615,67.699
IBRX,92.0,8.06,9485900,0.016,6.159,5.107,4.71,4.521,62.724
SBLK,92.0,31.16,976600,0.658,2.356,2.262,2.509,2.763,44.471
HUM,92.0,400.02,972700,0.155,8.567,4.492,3.74,3.399,358.253
CRL,91.0,278.35,789200,8.511,2.091,2.698,2.7,3.086,233.921
SPCX,91.0,147.55,120383900,0.816,5.119,5.17,4.194,4.956,10427.566
PTGX,91.0,145.09,530500,0.586,4.655,3.657,3.729,3.791,72.901
CHEF,91.0,109.29,731600,2.323,3.697,3.594,3.455,3.676,92.289
KOS,91.0,2.87,10082700,0.037,4.594,4.501,5.005,4.836,29.89
GCT,91.0,51.88,719800,0.437,7.044,5.402,4.896,4.534,28.71
TGTX,91.0,54.65,1409800,0.654,5.347,4.129,4.112,4.689,86.065
VRNS,91.0,46.09,1410100,0.422,2.509,5.907,4.823,4.593,96.282
CRM,91.0,244.16,11853700,7.304,4.662,3.414,4.356,4.033,5364.761
VCTR,91.0,111.86,430200,0.123,3.535,2.881,3.78,3.193,78.711
BLFS,91.0,34.93,1273300,0.345,2.889,2.727,2.755,2.758,33.787
AMC,91.0,2.46,21459900,0.053,6.911,7.127,6.354,6.186,62.066
ZIM,90.0,29.38,1962300,0.805,3.522,3.314,2.74,3.028,40.919
TX,90.0,58.11,284300,0.331,1.385,2.297,2.532,2.817,30.301
U,90.0,42.54,7206500,0.549,3.301,4.149,3.94,3.728,383.989
KYMR,90.0,115.43,767400,0.616,6.615,5.082,4.228,4.388,73.007
FIVN,90.0,30.37,1121300,1.795,3.827,4.863,4.798,4.879,49.198
WPM,90.0,156.76,1659600,3.132,3.014,2.64,3.437,3.357,338.222
FSM,90.0,12.33,3037700,0.019,3.284,3.051,3.844,3.776,61.402
VG,90.0,15.29,18357900,0.477,3.968,3.774,4.081,3.989,183.301
THC,90.0,269.08,723000,2.235,5.393,3.931,3.538,3.055,208.259
VEEV,90.0,260.8,1076800,10.996,2.586,2.781,3.767,3.565,615.751
VIRT,90.0,62.89,615600,0.414,2.894,3.501,3.424,4.821,63.05
PBR,90.0,20.93,27182900,0.343,2.163,2.894,3.079,2.562,495.328
EWTX,90.0,43.39,707700,0.711,3.095,5.091,4.538,4.715,40.686
NTAP,90.0,184.74,2037600,1.395,3.679,6.814,5.161,4.243,516.023
ELF,90.0,100.08,1611300,4.744,3.127,4.206,4.335,4.149,168.504
