ticker,score,RS
A,95.1,37
AA,185.04,92
AACB,102.25,52
AACG,79.85,25
AAL,101.78,51
AAME,127.69,76
AAMI,152.69,86
AAOI,259.74,97
AAON,108.83,62
AAP,106.92,59
AAPG,88.52,31
AAPL,113.96,66
AARD,125.8,75
AAT,96.72,40
AAUC,234.67,96
AB,98.38,43
ABAT,198.71,93
ABBV,108.0,61
ABCB,115.91,69
ABCL,106.15,59
ABEO,100.08,47
ABEV,141.1,83
ABG,92.26,35
ABLV,99.03,45
ABM,93.61,36
ABNB,100.79,49
ABOS,200.7,94
ABR,74.49,22
ABSI,90.82,34
ABT,87.59,30
ABTC,29.36,5
ABTS,177.42,91
ABUS,121.29,74
ABVC,92.46,35
ABVE,115.29,68
ABVX,871.29,99
ABX,130.37,79
ABXL,102.53,52
ACA,130.77,79
ACAD,108.79,62
ACB,77.8,24
ACCL,35.03,7
ACCO,112.39,65
ACCS,77.22,24
ACDC,117.97,72
ACEL,99.9,46
ACET,66.71,17
ACFN,104.59,55
ACGL,108.19,61
ACH,66.5,16
ACHC,84.42,27
ACHR,86.2,29
ACHV,127.8,77
ACI,96.5,40
ACIC,96.19,39
ACIU,115.66,69
ACIW,81.97,26
ACLS,116.77,70
ACLX,155.36,87
ACM,89.97,33
ACMR,255.48,97
ACN,70.13,19
ACNB,109.89,63
ACNT,135.8,81
ACOG,90.76,34
ACON,31.45,6
ACP,98.94,45
ACR,93.85,37
ACRE,105.17,57
ACRS,176.68,91
ACRV,79.86,25
ACT,113.41,66
ACTG,110.43,64
ACTU,56.19,12
ACU,118.05,73
ACV,118.3,73
ACVA,47.58,11
ACXP,26.46,3
AD,90.01,33
ADAG,173.61,90
ADAM,116.29,70
ADBE,69.54,19
ADC,107.27,60
ADCT,163.1,88
ADEA,145.23,83
ADGM,95.78,39
ADI,153.18,86
ADIL,23.51,3
ADM,124.08,74
ADMA,89.58,32
ADNT,135.31,81
ADP,72.03,20
ADPT,133.9,80
ADSE,97.4,41
ADSK,76.32,23
ADT,98.42,44
ADTN,128.59,77
ADTX,7.59,0
ADUR,126.19,76
ADUS,93.46,36
ADV,38.28,8
ADVB,32.09,6
ADX,107.72,60
ADXN,88.62,31
AEBI,129.73,78
AEC,140.68,82
AEE,110.3,63
AEF,147.5,85
AEFC,100.25,48
AEG,104.16,54
AEHL,29.21,5
AEHR,272.7,98
AEI,167.71,89
AEIS,224.76,95
AEM,188.37,93
AEMD,27.16,4
AENT,112.76,65
AEO,167.85,89
AEON,145.47,84
AEP,117.9,72
AER,125.31,75
AERO,103.99,53
AERT,47.34,11
AES,134.38,80
AESI,95.31,38
AEVA,156.49,87
AEXA,104.37,54
AEYE,56.31,13
AFB,103.81,53
AFBI,105.07,56
AFCG,61.9,15
AFG,100.74,48
AFGB,100.0,47
AFGC,97.98,42
AFGD,99.37,46
AFGE,100.89,49
AFJK,331.06,98
AFL,105.02,56
AFRI,110.84,64
AFRM,75.93,23
AFYA,86.68,30
AG,376.69,99
AGAE,48.82,12
AGCC,246.4,96
AGCO,130.14,78
AGD,115.32,68
AGEN,82.43,27
AGH,216.74,95
AGI,179.78,92
AGIG,69.1,18
AGIO,102.01,51
AGL,36.8,8
AGM,86.66,29
AGMH,38.67,9
AGNC,114.19,67
AGO,98.34,43
AGPU,21.97,2
AGRO,105.58,58
AGRZ,15.28,1
AGX,207.67,94
AGYS,69.1,18
AHCO,97.01,41
AHG,89.49,32
AHH,85.01,28
AHMA,145.77,84
AHR,136.88,82
AHT,60.76,14
AI,57.98,13
AIFF,27.5,4
AIFU,46.56,10
AIG,101.22,50
AIHS,62.5,16
AII,98.93,44
AIIO,12.34,0
AIM,45.12,10
AIMD,66.57,17
AIN,95.72,38
AIO,101.43,50
AIOS,14.99,1
AIOT,73.04,21
AIP,158.22,88
AIR,170.05,90
AIRE,61.68,15
AIRG,105.57,58
AIRI,104.51,55
AIRJ,72.93,20
AIRO,75.86,22
AIRS,39.73,9
AIRT,117.17,71
AISP,73.98,21
AIT,115.06,67
AIV,80.94,26
AIXC,36.14,7
AIXI,16.35,2
