ticker,score,RS
CCG,321.66,95.0
CCLX,269.75,95.0
BBGI,25.26,95.0
TTRX,18.26,94.0
MMED,16.7,94.0
NNBR,13.35,93.0
DDD,9.43,93.0
BB,8.69,92.0
AALG,5.9,92.0
BBY,5.71,91.0
SSTT,4.94,91.0
MMSI,4.85,90.0
BBC,4.67,90.0
EE,4.14,89.0
FF,4.13,89.0
BBIO,4.09,88.0
SSO,3.6,88.0
QQXL,3.58,87.0
FFLUX,3.43,87.0
SSB,3.35,86.0
FFLO,3.2,86.0
EES,3.15,85.0
CCD,2.85,85.0
TTC,2.81,84.0
CCCC,2.81,84.0
FFF,2.78,83.0
FFSM,2.76,83.0
WWW,2.68,82.0
TTT,2.56,82.0
FFGNX,2.49,81.0
AAP,2.48,81.0
BBAX,2.4,80.0
BBP,2.37,80.0
TTE,2.34,79.0
CCBC,2.32,79.0
EET,2.26,78.0
NNN,2.22,78.0
GGM,2.15,77.0
EEMA,2.1,77.0
VV,2.09,76.0
CCL,2.08,76.0
VVERX,2.06,75.0
DD,2.04,75.0
MMSC,2.02,74.0
DDDD,2.01,74.0
RRR,1.95,73.0
BBHM,1.85,73.0
BBH,1.83,72.0
TTAC,1.81,71.0
EEQIX,1.81,71.0
CCREX,1.79,71.0
FFND,1.76,70.0
SSD,1.75,69.0
DDSGX,1.75,69.0
EEA,1.72,69.0
FFOX,1.71,68.0
QQH,1.7,67.0
FFA,1.7,67.0
SSCYX,1.64,67.0
KKR,1.63,66.0
PPG,1.55,66.0
FFR,1.5,65.0
EEE,1.46,65.0
FFLEX,1.44,64.0
DDTM,1.41,64.0
DDTCX,1.4,63.0
FFLG,1.39,62.0
MMI,1.39,62.0
RREAX,1.39,62.0
NNOV,1.37,61.0
DDETX,1.37,61.0
GGME,1.32,60.0
CCNR,1.26,60.0
AAMTX,1.23,59.0
WWD,1.22,58.0
EELV,1.22,58.0
AAMIX,1.21,57.0
AANTX,1.21,57.0
GGT,1.2,57.0
TT,1.15,56.0
DDEC,1.15,56.0
AAMCX,1.14,55.0
PPI,1.12,55.0
FFBRX,1.1,54.0
SSCNX,1.09,54.0
PPH,1.06,53.0
DDT,1.05,53.0
CCGTX,1.04,52.0
CCGNX,1.03,52.0
CCC,0.93,51.0
NNI,0.84,51.0
DDX,0.82,50.0
CCEF,0.81,49.0
CCURX,0.81,49.0
AABVX,0.8,48.0
CCALX,0.8,48.0
DDFTX,0.76,48.0
TTWO,0.74,47.0
CCETX,0.71,46.0
MMAR,0.71,46.0
BBB,0.71,46.0
SSTI,0.63,45.0
AAAP,0.6,45.0
FFLS,0.59,45.0
TTRTX,0.58,44.0
CCRNX,0.58,44.0
AAIDX,0.57,43.0
TTHG,0.57,43.0
MMAX,0.56,42.0
RRC,0.55,42.0
FFC,0.54,41.0
PPAYX,0.52,41.0
CCATX,0.5,40.0
EEVEX,0.5,40.0
UUP,0.41,39.0
BBDC,0.4,38.0
CCOR,0.4,38.0
AACIU,0.4,38.0
DDV,0.38,37.0
AACB,0.33,37.0
AAA,0.3,36.0
MMOBX,0.29,35.0
CCIX,0.29,35.0
FFRSX,0.23,35.0
GGNPX,0.22,34.0
IIMAX,0.18,33.0
PPAL,0.18,33.0
MMTX,0.17,32.0
PPSIX,0.17,32.0
AACI,0.17,32.0
BBN,0.14,31.0
MMD,0.12,31.0
FFHTX,0.11,30.0
FFOXX,0.0,29.0
BBBT,0.0,29.0
CCCI,0.0,29.0
MMTC,0.0,29.0
MMU,-0.0,29.0
SSVC,0.0,29.0
PPRG,0.0,29.0
PPII,0.0,29.0
MMKTX,0.0,29.0
NNBP,0.0,29.0
MMMM,0.0,29.0
PPCRX,-0.01,28.0
CCODX,-0.01,28.0
MMT,-0.1,26.0
MMMA,-0.1,26.0
NNYAX,-0.1,26.0
EEWTX,-0.23,26.0
CCM,-0.24,25.0
SSAFX,-0.24,25.0
BBNTX,-0.27,24.0
SSMR,-0.53,24.0
MMGTX,-0.6,23.0
PPL,-0.63,23.0
CC,-0.77,22.0
PPHI,-0.81,21.0
TTGT,-0.81,21.0
KKRT,-1.26,21.0
MMLP,-1.29,20.0
MMS,-1.3,20.0
BBBY,-1.4,19.0
OOGI,-1.53,19.0
AAON,-1.65,18.0
WWDH,-1.98,18.0
HHBT,-2.15,17.0
SSMG,-2.2,17.0
AAPD,-2.23,16.0
CCI,-2.28,16.0
WW,-2.35,15.0
AAPT,-2.62,15.0
CCYRX,-2.77,14.0
BBW,-2.98,14.0
SSII,-3.11,13.0
TTOP,-3.2,13.0
PPERF,-3.55,12.0
AA,-3.56,12.0
EESE,-4.12,11.0
UUUU,-5.48,11.0
LLND,-5.55,10.0
AAUC,-6.31,10.0
FFOXF,-7.15,9.0
TTD,-7.18,9.0
NNE,-7.32,8.0
AAPG,-7.58,8.0
AAME,-8.03,7.0
MMA,-9.34,7.0
RR,-9.48,6.0
SSM,-9.52,6.0
VVC,-11.1,5.0
SSG,-11.31,5.0
SST,-13.24,4.0
CCB,-14.32,4.0
SSGC,-14.52,3.0
NNNN,-16.38,3.0
PPBT,-19.57,2.0
GGSM,-20.25,2.0
AAPI,-26.97,1.0
DDC,-29.39,1.0
PPCB,-29.72,0.0
CCHH,-34.78,0.0
PPMT,-37.56,0.0
CCRDF,,
