ticker,RS,close,volume,ma20,ma50,ma200,atr_20_pct,dist_high5_pct,dist_low5_pct,avg_value_10
ABVX,99,113.32,733600,117.992,122.099,69.29,6.303,4.901,5.492,96612098.94
AAUC,98,31.61,381500,28.777,24.626,17.061,3.171,1.465,1.968,60554962.069
ACMR,96,61.24,2076300,53.002,43.472,32.917,5.144,5.475,17.094,95392325.815
AAOI,95,46.12,5641300,38.13,33.591,26.204,9.145,6.088,24.145,294679582.375
ABAT,94,4.3,6055500,4.632,4.156,3.181,11.575,11.975,10.682,29919487.327
AA,93,61.35,8381700,61.856,52.886,36.645,4.632,3.445,9.7,524566413.453
ACRS,92,3.47,1031800,3.358,3.115,2.073,9.604,11.48,2.663,7101285.659
ABVE,91,2.14,3123600,2.151,2.168,2.042,14.472,18.008,26.627,4427403.417
ABOS,90,2.57,549400,2.12,2.032,1.581,9.227,15.738,7.531,6186298.239
ADAG,89,2.95,102800,2.15,1.985,1.918,9.828,7.524,28.261,1199263.519
ABVC,88,1.9,65200,2.086,2.24,2.436,7.261,9.524,2.151,108470.999
AAMI,87,51.67,376600,53.56,49.41,42.336,3.55,8.484,2.51,12854462.144
ACNT,86,17.1,156400,16.333,15.747,13.411,2.669,1.099,8.571,1141083.025
ACIU,84,3.34,256800,3.487,3.21,2.558,7.44,6.704,5.363,943048.976
ABEV,83,2.9,27661800,2.678,2.565,2.404,2.226,0.685,5.072,79702935.621
ACA,82,117.87,133300,113.303,110.152,95.835,2.297,0.866,4.643,22521421.425
