ticker,RS,close,volume,ma10,ma20,ma50,ma200,high10,atr_20,atr_20_pct,avg_value_10
ABVX,99,113.32,733600,116.898,117.992,122.099,69.29,125.86,7.143,6.303,96612098.94
AAUC,98,31.61,381500,31.173,28.777,24.626,17.061,32.08,1.002,3.171,60554962.069
ABTS,97,3.77,3600,4.569,5.113,5.449,5.129,5.6,0.446,11.829,34307.0
ABAT,94,4.3,6055500,4.429,4.632,4.156,3.181,5.1,0.498,11.575,29919487.327
AA,93,61.35,8381700,60.445,61.856,52.886,36.645,65.0,2.842,4.632,524566413.453
ACRS,92,3.47,1031800,3.867,3.358,3.115,2.073,4.84,0.333,9.604,7101285.659
ABVE,91,2.14,3123600,2.179,2.151,2.168,2.042,2.65,0.31,14.472,4427403.417
ABOS,90,2.57,549400,2.394,2.12,2.032,1.581,3.05,0.237,9.227,6186298.239
ABVC,88,1.9,65200,2.024,2.086,2.24,2.436,2.19,0.138,7.261,108470.999
AAMI,87,51.67,376600,55.002,53.56,49.41,42.336,56.46,1.834,3.55,12854462.144
ACIU,84,3.34,256800,3.442,3.487,3.21,2.558,3.9,0.249,7.44,943048.976
ACA,82,117.87,133300,115.207,113.303,110.152,95.835,118.9,2.707,2.297,22521421.425
AAME,81,2.69,7400,2.731,2.851,2.685,2.509,2.92,0.181,6.744,35346.601
